Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Naive Bayes,0.7689,0.8171,0.7447,0.6839,0.7121,0.5198,0.5221,0.284
Random Forest Classifier,0.7897,0.8358,0.7279,0.7269,0.7267,0.5558,0.5566,0.056
Quadratic Discriminant Analysis,0.78,0.8194,0.7278,0.7099,0.7179,0.5378,0.5387,0.008
Ada Boost Classifier,0.7849,0.833,0.7154,0.7237,0.7186,0.5446,0.5456,0.018
Light Gradient Boosting Machine,0.7977,0.8448,0.7113,0.7506,0.7291,0.5681,0.5698,38.646
Gradient Boosting Classifier,0.8057,0.8538,0.7112,0.7672,0.7378,0.5838,0.5852,0.026
Logistic Regression,0.7961,0.8297,0.7026,0.7522,0.7255,0.5636,0.5654,0.44
Extra Trees Classifier,0.7592,0.8001,0.6947,0.6848,0.689,0.4927,0.4934,0.048
Ridge Classifier,0.7929,0.8302,0.6942,0.7482,0.7195,0.5557,0.5573,0.01
Linear Discriminant Analysis,0.7929,0.8302,0.6942,0.7482,0.7195,0.5557,0.5573,0.01
Decision Tree Classifier,0.7384,0.7232,0.6862,0.651,0.6678,0.4523,0.453,0.008
SVM - Linear Kernel,0.6822,0.7074,0.5486,0.4905,0.5022,0.3046,0.3211,0.01
K Neighbors Classifier,0.6934,0.7163,0.5395,0.6172,0.5727,0.3361,0.3401,0.348
Dummy Classifier,0.6164,0.5,0.0,0.0,0.0,0.0,0.0,0.01
