Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Naive Bayes,0.7752,0.8213,0.7445,0.6951,0.7181,0.5316,0.5333,0.32
Ada Boost Classifier,0.7945,0.8283,0.7237,0.7378,0.7298,0.564,0.565,0.02
Quadratic Discriminant Analysis,0.7752,0.8221,0.7235,0.704,0.712,0.5279,0.5296,0.01
Gradient Boosting Classifier,0.8122,0.8556,0.7196,0.7808,0.747,0.5981,0.6012,0.024
Ridge Classifier,0.7945,0.8339,0.6984,0.7494,0.7223,0.5595,0.561,0.01
Logistic Regression,0.7881,0.8354,0.6984,0.7382,0.7166,0.5476,0.5492,0.476
Linear Discriminant Analysis,0.7945,0.8337,0.6984,0.7494,0.7223,0.5595,0.561,0.01
Light Gradient Boosting Machine,0.7913,0.8406,0.6946,0.745,0.7182,0.5529,0.5544,40.536
Decision Tree Classifier,0.7254,0.7109,0.6819,0.6302,0.6533,0.4269,0.4295,0.01
Extra Trees Classifier,0.7398,0.7843,0.6652,0.6576,0.6608,0.45,0.4504,0.048
Random Forest Classifier,0.7559,0.8155,0.6484,0.6954,0.6695,0.4768,0.4788,0.058
K Neighbors Classifier,0.6902,0.7089,0.5354,0.6112,0.5681,0.3289,0.3325,0.344
SVM - Linear Kernel,0.6421,0.6165,0.2625,0.2329,0.2364,0.1334,0.1447,0.01
Dummy Classifier,0.6164,0.5,0.0,0.0,0.0,0.0,0.0,0.01
